sku_id,date,current_stock,on_order,lead_time_days,safety_stock,reorder_point,inventory_value,category,product_name,avg_forecast_daily,forecast_units_28d,days_of_cover,inventory_vs_reorder_point,stockout_risk,overstock_risk,risk_category
SKU022,2025-12-31,95,194,8,76,163,513246.05,Home Decor,Product 022,9.114843214285715,255.21561,10.422559968020764,-68,False,False,Watch/Volatile
SKU023,2025-12-31,130,79,12,41,148,494858.0,Kitchen,Product 023,13.150105553571427,368.2029555,9.885852206311256,-18,True,False,Reorder Now
SKU024,2025-12-31,341,18,14,60,259,454699.63,Lighting,Product 024,12.078233625,338.1905415,28.23260508011576,82,False,False,Healthy
SKU025,2025-12-31,1124,61,14,121,582,4384724.0,Storage,Product 025,3.1226384535714287,87.4338767,359.9520138857116,542,False,True,Markdown/Clear
SKU026,2025-12-31,160,70,5,31,59,988598.4,Furniture,Product 026,19.68737482142857,551.246495,8.127035800926045,101,False,False,Watch/Volatile
SKU027,2025-12-31,567,103,3,83,133,2599048.62,Home Decor,Product 027,21.452716357142858,600.676058,26.4302193978905,434,False,False,Healthy
SKU028,2025-12-31,174,55,11,114,337,85058.16,Kitchen,Product 028,5.078565500000001,142.199834,34.26164337153867,-163,False,False,Healthy
SKU029,2025-12-31,261,520,5,196,329,891602.1,Lighting,Product 029,14.450393589285714,404.6110205,18.061791769707867,-68,False,False,Healthy
SKU030,2025-12-31,166,32,9,43,104,342462.98,Storage,Product 030,4.341549842857143,121.5633956,38.23519388430114,62,False,False,Healthy
SKU031,2025-12-31,93,40,13,28,113,234857.55,Furniture,Product 031,16.008588785714284,448.240486,5.809381529182083,-20,True,False,Reorder Now
SKU032,2025-12-31,278,214,11,60,185,1269626.0,Home Decor,Product 032,8.60544172857143,240.9523684,32.30514002285275,93,False,False,Healthy
SKU033,2025-12-31,208,168,12,55,183,707096.0,Kitchen,Product 033,15.740205375,440.7257505,13.214567093918875,25,False,False,Watch/Volatile
SKU034,2025-12-31,34,103,5,34,58,52497.36,Lighting,Product 034,18.93926775,530.299497,1.7952119611382547,-24,True,False,Reorder Now
SKU035,2025-12-31,670,76,8,137,304,3918347.6,Storage,Product 035,19.688900285714286,551.289208,34.029325674737315,366,False,False,Healthy
SKU036,2025-12-31,383,135,3,77,129,574446.38,Furniture,Product 036,4.477433957142857,125.3681508,85.54006684766384,254,False,True,Markdown/Clear
SKU037,2025-12-31,355,687,8,315,644,2004500.4,Home Decor,Product 037,21.931489821428574,614.081715,16.186770843681607,-289,False,False,Healthy
SKU038,2025-12-31,159,310,12,56,175,509262.69,Kitchen,Product 038,7.572651125,212.0342315,20.996609691298833,-16,False,False,Healthy
SKU039,2025-12-31,93,35,3,17,31,284026.65,Lighting,Product 039,2.7393780571428574,76.7025856,33.94931187300158,62,False,False,Healthy
SKU040,2025-12-31,67,29,9,36,93,78024.85,Storage,Product 040,13.433198035714286,376.129545,4.987643286570322,-26,True,False,Reorder Now
SKU041,2025-12-31,440,40,4,78,139,2496001.2,Furniture,Product 041,10.308943785714286,288.650426,42.68138512984561,301,False,False,Healthy
SKU042,2025-12-31,90,120,6,41,88,698500.8,Home Decor,Product 042,20.43459342857143,572.168616,4.404296093024438,2,True,False,Reorder Now
SKU043,2025-12-31,559,211,12,142,393,2086495.45,Kitchen,Product 043,19.67244957142857,550.828588,28.415373386538903,166,False,False,Healthy
SKU044,2025-12-31,223,39,5,55,93,222337.69,Lighting,Product 044,7.914741567857143,221.6127639,28.17527244422405,130,False,False,Healthy
SKU045,2025-12-31,307,142,4,88,142,558224.24,Storage,Product 045,21.755014535714285,609.140407,14.111689031327058,165,False,False,Healthy
SKU046,2025-12-31,119,182,4,46,96,563935.05,Furniture,Product 046,8.395579807142857,235.0762346,14.174125281824638,23,False,False,Healthy
SKU047,2025-12-31,201,129,9,44,99,1231834.53,Home Decor,Product 047,13.590087892857143,380.522461,14.790191320664247,102,False,False,Healthy
SKU048,2025-12-31,106,50,3,22,31,381464.32,Kitchen,Product 048,8.077184607142858,226.161169,13.123384589509262,75,False,False,Watch/Volatile
SKU049,2025-12-31,780,599,5,206,344,4123321.8,Lighting,Product 049,22.45181242857143,628.650748,34.741070569759344,436,False,False,Healthy
SKU050,2025-12-31,328,525,14,69,316,1138983.28,Storage,Product 050,5.550364942857143,155.4102184,59.09521326559052,12,False,False,Healthy
